Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1934,-9.63,37.5,33.2,30.87,35.97,18.57,12.3,21.9,47.07,36.6,-999.0,14.57,24.6,21.17,20.53,23.07,27.0,43.67,10.37,21.77,-3.6,9.6,0.63,24.27,38.53,15.8,30.7,3.1,17.4,1.73,17.2,22.7,25.1,6.87,18.87,30.13,31.23,14.9,13.37,34.7,11.23,30.6,36.7,23.43,25.47,-0.8,30.0,7.37,21.23,16.97
1935,-0.3,35.53,31.97,32.27,34.8,14.8,15.7,23.93,45.83,35.4,-999.0,13.9,16.43,21.23,21.4,22.53,27.23,41.0,13.47,23.43,0.53,11.3,1.4,24.33,36.07,11.3,30.53,2.77,16.1,4.9,20.27,23.3,22.6,9.63,21.17,29.83,25.1,17.63,16.8,34.37,11.23,29.37,36.57,20.27,25.77,2.47,25.93,5.33,22.87,12.5
1936,-5.7,31.37,25.8,30.03,34.47,11.77,14.13,19.9,43.97,31.33,-999.0,2.0,12.97,11.6,12.87,15.07,19.9,36.73,13.2,19.4,3.83,6.63,-9.23,15.03,31.3,1.33,25.53,-12.27,5.23,5.53,17.2,21.53,21.3,8.57,14.13,23.57,23.37,12.9,16.07,29.73,-3.8,23.17,31.9,18.43,20.63,3.3,21.53,-0.9,16.77,5.5
1937,-3.1,41.5,33.1,25.33,29.2,8.27,23.5,30.6,52.53,42.07,-999.0,8.9,8.77,20.47,22.57,18.47,30.07,44.1,22.23,29.3,10.3,14.03,-4.37,22.23,40.2,1.0,36.0,-6.13,8.3,14.57,26.83,18.83,12.53,18.07,24.17,27.87,18.17,22.9,25.7,40.2,1.37,33.37,35.1,10.7,30.6,13.13,18.03,4.4,26.77,4.83
1938,-7.83,37.5,34.3,32.47,35.37,14.93,19.03,26.7,47.4,37.2,-999.0,13.77,19.57,22.87,22.93,21.8,28.87,43.43,16.7,26.2,4.67,12.7,0.13,25.0,38.67,9.87,32.0,-1.5,14.5,8.97,23.23,23.1,23.4,13.73,22.9,30.93,27.6,19.97,20.0,35.5,7.07,31.63,38.8,22.27,27.93,7.57,26.83,7.9,24.67,12.0
1939,-2.33,37.07,32.1,28.1,32.8,10.57,19.67,27.83,48.4,37.67,-999.0,13.47,15.87,21.77,22.47,20.6,27.97,41.73,18.07,27.2,6.03,13.37,-0.27,23.97,37.4,11.23,32.67,-0.4,13.57,9.77,23.87,19.17,18.97,13.97,22.97,28.47,24.7,20.57,21.53,36.43,8.13,30.07,34.53,15.23,28.43,8.3,25.23,7.27,24.67,8.87
1940,1.53,30.4,27.3,32.07,37.4,13.67,16.5,21.73,41.7,31.03,-999.0,10.97,20.73,17.47,17.83,17.3,21.6,35.97,15.1,22.1,5.5,14.07,4.47,18.3,30.77,11.1,26.53,4.1,12.17,7.27,19.83,21.23,25.43,10.63,18.17,24.9,29.1,16.97,18.17,29.9,7.87,23.77,32.1,21.3,22.57,4.77,28.57,9.13,19.57,12.27
1941,-0.93,35.5,32.27,34.8,37.57,15.27,18.5,26.2,46.67,35.07,-999.0,14.9,18.53,22.27,22.27,23.57,26.93,41.43,16.43,25.53,6.07,14.63,3.17,24.93,36.53,13.57,29.4,3.3,16.77,8.83,22.43,25.3,25.0,12.83,22.5,30.7,27.5,19.4,20.33,32.73,10.63,28.9,37.67,20.77,25.8,6.6,27.43,9.03,23.37,12.2
1942,4.43,33.3,29.5,28.97,33.87,10.1,18.03,25.13,45.7,34.1,-999.0,15.73,13.1,22.07,21.87,21.1,25.53,38.27,16.53,24.87,6.33,15.2,7.0,23.67,33.8,10.4,28.83,7.23,14.47,9.1,21.9,20.67,20.33,13.03,21.37,27.67,23.93,18.87,19.87,32.83,11.7,27.03,34.07,16.57,25.1,7.47,24.43,11.5,21.93,7.37
1943,-9.83,36.17,31.23,31.53,34.43,15.13,16.3,25.17,46.5,36.27,-999.0,10.07,16.03,18.5,18.97,20.9,26.33,40.47,14.73,24.67,4.1,10.67,-3.27,21.9,36.33,7.9,30.5,-2.93,13.97,6.5,21.17,23.33,22.8,10.77,19.87,28.4,24.77,17.9,18.47,34.7,5.73,29.0,34.8,19.83,26.37,4.47,22.57,3.53,22.8,11.63
1944,1.83,37.43,32.63,29.27,33.13,12.17,16.93,25.33,46.87,37.23,-999.0,15.13,14.17,20.97,21.2,21.3,26.87,42.83,15.3,24.73,3.6,15.3,6.17,23.13,38.2,12.47,30.37,5.6,14.17,5.7,21.63,19.67,19.1,12.23,21.13,29.1,23.4,18.57,18.93,35.23,9.77,30.2,35.7,15.8,26.2,4.23,23.7,11.33,22.47,8.47
1945,4.47,35.73,30.07,30.1,34.0,14.67,15.07,23.7,46.2,35.4,-999.0,11.73,17.53,17.6,17.67,21.8,24.03,40.3,13.67,22.9,4.0,10.03,2.57,21.47,35.5,11.0,28.93,3.9,15.93,5.77,19.2,21.77,20.9,9.03,16.87,28.2,26.1,14.83,17.67,33.33,10.17,27.77,35.1,19.87,24.83,3.7,26.17,4.97,20.27,9.87
1946,-1.57,34.5,30.7,26.23,32.1,10.97,15.77,25.23,47.23,34.7,-999.0,11.83,14.57,19.2,19.17,20.27,24.9,39.43,13.77,24.47,3.1,11.53,-1.2,22.23,35.03,11.83,30.07,-2.03,14.03,5.23,21.43,18.4,19.03,10.7,19.83,27.8,24.47,17.6,18.0,33.8,7.1,27.97,33.9,14.93,25.87,4.17,25.2,6.0,22.13,9.9
1947,-10.7,35.07,31.13,29.63,33.57,14.13,18.73,26.4,48.83,35.4,-999.0,12.8,16.83,20.47,21.0,20.2,26.07,39.53,17.77,25.53,6.9,12.9,1.6,22.97,35.1,10.23,30.23,1.77,14.23,9.7,23.2,20.97,21.63,14.17,21.1,27.6,25.03,19.63,21.23,34.13,9.4,28.07,33.67,18.97,26.33,8.2,23.57,7.67,22.77,11.6
1948,-1.93,34.1,28.83,27.1,31.83,11.6,12.97,22.3,48.7,35.13,-999.0,11.17,16.53,18.27,17.73,19.0,22.87,38.0,11.47,21.5,0.63,9.1,-3.03,20.9,33.57,11.1,28.03,-1.2,13.13,2.37,18.23,19.13,18.93,8.17,17.07,25.8,24.27,14.33,16.13,32.8,6.07,26.33,33.17,16.13,23.53,0.9,24.17,3.03,19.13,9.47
1949,-9.0,41.1,33.43,25.9,26.97,8.97,22.83,30.73,54.0,42.4,-999.0,9.87,4.6,22.07,24.67,18.1,31.47,44.57,21.87,30.13,9.83,15.77,-1.7,23.27,41.23,-1.97,37.07,-6.6,7.6,14.83,27.17,20.47,10.1,18.27,25.9,26.53,15.77,23.53,25.53,41.2,0.97,34.2,35.6,7.87,31.93,13.87,14.47,7.47,29.0,1.73
1950,-8.3,42.37,35.3,28.7,31.17,13.17,21.23,30.43,52.6,41.77,-999.0,10.4,13.87,22.7,24.4,19.23,30.63,47.47,19.77,29.63,7.2,13.83,-3.93,24.53,42.8,2.1,36.23,-9.0,10.1,11.5,26.4,21.37,18.87,16.4,25.07,28.57,21.3,23.1,23.57,39.6,1.1,34.27,39.1,15.1,31.07,10.83,17.5,5.1,27.83,8.9
1951,-7.37,34.13,29.4,29.7,35.43,14.57,21.0,25.83,44.4,33.77,-999.0,9.0,18.3,17.13,18.3,18.93,24.4,39.33,20.4,24.9,10.7,12.03,-2.2,20.7,34.8,9.47,28.77,-2.37,13.23,13.53,23.6,20.4,23.87,14.87,19.23,26.0,27.8,18.87,24.07,32.0,6.83,27.77,32.7,19.47,25.13,12.07,26.1,2.57,21.97,11.63
1952,-6.57,40.07,35.33,29.07,32.17,12.37,21.2,28.93,50.13,39.9,-999.0,13.4,11.43,21.87,22.97,21.17,29.93,45.83,19.67,28.17,7.23,14.27,1.67,24.87,41.37,5.53,33.4,-1.27,13.9,11.1,25.77,22.67,17.87,15.9,23.4,30.77,21.77,21.47,23.67,37.73,5.17,33.3,38.33,14.23,29.0,10.27,21.23,8.03,25.9,7.73
1953,-4.57,36.5,32.87,29.17,34.87,14.77,23.63,29.63,47.47,36.73,-999.0,15.63,21.93,24.47,25.5,22.33,30.07,41.07,22.27,29.03,11.6,18.17,5.5,25.93,37.43,16.73,32.9,6.5,16.8,14.77,26.93,20.9,24.3,19.07,25.4,29.03,28.5,23.67,25.3,35.97,12.0,31.93,35.47,20.23,29.23,13.73,29.27,10.97,26.27,15.13
1954,-8.83,35.77,31.9,29.3,34.27,16.63,21.73,28.03,48.9,36.97,-999.0,15.83,19.67,23.37,24.27,22.77,27.5,40.93,20.3,27.17,10.7,16.63,4.07,24.77,36.37,13.93,31.63,5.67,17.63,13.37,24.83,20.87,22.4,16.53,24.1,29.3,27.6,21.5,23.67,35.83,12.17,29.83,35.6,19.4,27.6,11.3,26.23,11.47,24.47,14.6
1955,-7.53,34.53,31.1,26.47,30.67,9.7,19.8,25.17,45.13,34.87,-999.0,12.77,11.23,21.33,21.47,19.53,26.2,39.97,18.53,24.3,8.6,13.5,2.27,23.37,35.1,10.23,28.6,3.27,12.83,11.3,22.3,18.5,14.87,13.0,21.23,28.0,21.7,18.33,21.77,33.0,8.73,28.8,35.23,10.93,24.7,8.37,24.33,7.3,21.93,8.2
1956,-10.8,36.27,30.73,30.27,34.47,14.6,19.33,25.17,47.07,36.1,-999.0,9.17,15.43,19.37,20.33,18.23,26.1,41.6,17.63,24.57,8.07,12.3,-3.4,21.07,36.83,5.83,29.57,-4.17,11.37,10.57,22.4,21.9,22.47,13.13,20.37,26.4,24.17,18.8,20.87,33.63,2.93,29.43,34.77,20.17,25.33,8.6,21.03,4.07,21.97,9.73
1957,-5.47,42.1,35.03,32.8,33.13,14.6,19.53,28.7,51.8,42.07,-999.0,13.17,12.77,22.0,23.67,20.53,30.47,46.43,17.33,28.23,4.07,12.97,-0.27,24.57,42.03,6.43,35.6,0.13,13.47,8.13,24.93,24.93,19.03,14.17,23.8,30.13,21.4,21.47,21.17,40.23,7.1,34.53,39.23,17.77,30.47,7.43,20.07,6.4,27.27,9.3
1958,-3.97,30.47,29.9,31.17,36.27,15.47,19.83,24.9,41.63,31.27,-999.0,13.33,19.67,19.13,20.1,21.6,23.17,36.97,18.7,24.23,10.5,13.17,5.43,21.57,31.97,16.63,26.93,6.43,15.93,11.93,22.63,22.5,23.83,13.93,19.67,28.33,29.7,18.17,22.17,30.0,11.6,25.37,34.6,20.8,23.8,9.5,30.73,8.67,20.1,14.1
