Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1992,19.028,2.896,14.787,6.196,1.698,12.143,9.008,16.424,19.081,1.029,8.117,10.34,8.966,8.643,9.425,21.864,7.609,10.808,10.266,5.378,4.946,16.82,10.303,1.392,5.973,0.542,7.075,10.018,1.795,7.877,16.186,1.724,7.817,10.83,5.14,7.886,13.312,17.619,3.657,12.819,10.554,0.524,6.655,10.085,7.879,5.797,6.201,0.794,11.591,14.322,14.402,
1993,15.669,3.534,16.401,6.56,1.46,11.246,13.815,14.589,13.331,0.787,13.274,12.07,12.025,10.804,10.408,18.908,9.032,10.818,10.343,5.195,6.853,18.115,15.344,2.494,6.967,0.453,6.266,11.607,1.86,6.696,13.225,4.439,6.539,10.662,5.19,10.444,11.337,12.688,5.261,11.763,7.913,0.871,3.55,10.031,6.658,7.81,7.012,1.663,10.313,9.193,14.883,
1994,21.369,2.32,16.976,3.7,0.92,12.949,14.674,20.602,17.889,0.841,8.364,8.409,6.465,6.986,14.13,18.554,8.073,10.917,12.59,5.879,5.735,19.83,11.803,1.235,4.853,0.345,8.5,13.337,2.415,7.769,13.837,3.826,6.396,10.826,5.687,10.044,12.693,17.079,3.387,20.35,8.665,0.686,5.542,10.374,9.337,10.004,5.971,1.092,11.475,14.866,11.887,
1995,20.83,1.389,12.823,8.774,1.778,10.858,13.404,18.187,14.938,2.108,10.176,9.283,7.536,8.426,12.593,19.968,8.053,8.68,9.4,5.735,6.278,19.052,11.96,1.909,5.331,0.636,9.11,11.219,1.392,7.071,15.73,2.993,7.577,11.291,7.976,6.819,10.357,16.583,5.9,15.833,8.653,0.808,6.925,11.517,9.514,7.668,6.868,1.198,9.808,9.971,13.276,
1996,19.495,1.315,16.226,7.331,2.11,14.329,18.706,16.497,14.626,1.922,9.381,14.002,7.647,9.907,16.315,17.258,10.659,15.998,15.686,6.443,5.386,18.447,12.98,1.175,6.587,0.62,11.626,16.987,2.521,11.526,14.821,2.615,10.198,12.208,10.885,14.034,14.884,11.924,4.423,17.124,7.295,0.935,9.248,14.267,11.987,13.873,7.29,0.945,9.925,20.094,14.021,
1997,19.782,1.695,14.308,5.124,2.337,8.54,6.821,18.271,17.749,1.368,7.757,9.731,6.862,9.278,10.799,20.909,5.471,8.525,8.955,4.958,5.05,21.263,9.226,1.624,5.46,0.617,6.61,6.952,2.942,5.927,11.655,3.391,6.732,12.514,6.578,6.346,11.045,16.36,5.129,15.063,10.195,0.852,5.337,6.11,9.768,6.639,5.552,1.252,11.093,16.301,11.419,
1998,19.274,1.853,14.047,8.54,1.548,11.863,8.693,17.576,16.849,1.451,11.777,11.511,9.089,9.505,12.686,20.88,9.102,10.844,14.428,5.609,6.497,19.559,14.262,1.466,5.835,1.038,10.357,10.576,2.193,8.57,15.545,4.545,8.95,10.984,8.277,8.739,17.649,16.228,5.816,16.841,8.286,1.008,8.578,12.845,10.173,8.656,7.33,1.355,10.427,7.896,19.218,
1999,15.978,2.027,14.107,4.012,2.142,12.376,13.404,14.579,11.246,1.189,8.755,8.606,8.194,9.239,8.894,15.756,10.156,10.475,11.266,5.245,6.814,15.43,10.881,0.98,6.037,0.561,9.308,10.789,3.064,7.314,13.958,3.866,5.38,11.286,6.682,9.497,13.963,11.886,5.005,12.618,7.134,0.668,6.465,10.784,9.921,7.059,7.131,1.054,11.396,11.647,17.387,
2000,14.215,2.012,13.933,4.904,1.256,10.292,12.007,11.942,11.837,1.13,10.304,11.83,6.822,6.658,12.286,16.005,7.784,9.804,12.604,6.544,5.397,13.501,9.31,0.93,4.841,0.489,9.593,11.827,2.323,8.669,11.58,4.2,9.333,10.186,5.234,8.699,13.649,12.424,4.075,12.942,8.658,0.742,6.434,9.906,6.116,9.343,7.426,1.007,10.431,8.754,12.675,
2001,18.86,1.212,17.178,5.438,1.339,9.861,8.637,16.166,11.964,0.668,9.971,11.372,7.932,8.686,10.971,23.128,4.075,8.106,10.153,5.875,6.524,22.789,12.663,1.279,5.883,0.265,6.824,8.368,1.331,5.469,9.204,3.028,6.745,9.8,4.675,6.489,10.739,9.765,4.402,15.274,8.23,0.451,3.769,8.928,7.801,7.107,6.635,0.784,10.314,9.027,14.074,
2002,19.003,1.033,16.555,4.785,0.7,11.828,13.829,18.373,15.16,1.124,9.824,11.745,6.932,5.696,14.952,21.934,7.103,9.995,11.858,4.953,6.263,21.158,11.241,1.236,3.187,0.565,9.287,12.158,1.598,9.031,13.177,2.204,7.308,10.776,6.153,8.757,13.297,15.25,2.88,17.813,9.721,0.735,8.985,9.453,8.271,9.9,7.639,0.574,11.809,12.485,13.713,
2003,21.31,1.359,12.469,4.762,1.643,15.066,16.584,17.96,16.73,0.925,9.95,12.352,6.493,6.595,15.115,16.119,11.052,17.839,15.124,5.32,3.708,18.682,10.666,0.625,3.669,0.605,11.687,15.583,1.048,10.802,19.031,1.969,10.311,7.388,5.696,12.129,18.273,15.768,3.286,17.801,7.251,0.55,8.967,16.495,8.634,12.775,5.103,0.778,10.728,11.171,24.161,
2004,19.154,2.231,16.721,6.229,1.67,12.486,14.778,17.325,14.088,1.031,9.964,10.288,9.079,8.657,14.813,23.466,7.382,10.976,12.026,5.601,6.712,21.552,12.93,1.322,4.596,1.257,9.782,11.079,2.811,8.659,12.952,3.226,9.113,11.161,5.427,11.227,12.618,12.967,4.9,18.608,12.127,1.549,7.216,12.423,7.514,12.428,6.652,0.625,11.182,20.369,15.489,
2005,17.726,1.972,10.029,7.07,1.734,11.243,11.534,19.704,16.347,1.655,7.041,10.949,6.787,8.36,8.05,13.769,16.621,12.45,14.46,4.398,6.946,14.933,10.073,1.623,6.399,1.08,15.469,13.556,1.717,10.997,13.14,4.377,9.169,8.15,7.164,8.991,17.268,13.55,4.347,11.636,6.246,1.176,9.494,9.126,7.819,6.461,4.665,1.432,10.88,13.637,23.447,
2006,15.594,1.429,16.711,4.971,1.717,16.259,14.367,13.846,11.604,1.262,10.337,14.881,7.483,6.796,14.093,18.155,11.523,11.702,15.07,6.865,4.152,18.57,10.529,1.665,5.273,0.684,15.323,14.775,2.885,11.221,15.248,1.866,8.88,9.005,7.84,11.339,15.974,13.043,3.119,14.215,7.599,0.98,10.451,12.947,10.104,8.326,6.133,0.513,9.921,18.278,16.864,
2007,11.817,2.101,14.44,3.405,2.111,10.174,14.303,14.407,10.393,0.87,9.067,10.716,11.63,9.808,10.184,15.107,11.724,9.272,11.544,5.201,7.047,11.625,9.869,1.635,7.742,0.277,10.322,12.21,1.91,8.587,10.377,3.809,10.199,13.026,6.025,9.257,12.677,10.33,5.627,10.015,10.961,0.745,8.233,9.29,7.745,7.935,6.583,1.527,9.997,10.026,16.057,
2008,17.836,2.359,19.201,4.58,1.411,15.265,10.618,15.761,13.946,0.891,14.137,14.153,10.566,10.425,11.815,16.944,13.313,12.334,16.021,5.942,6.221,18.433,17.337,1.485,7.036,0.481,16.127,11.606,2.153,8.321,12.086,3.2,9.48,10.389,4.792,9.229,14.594,14.182,5.469,13.794,8.091,0.948,10.414,9.06,6.323,7.749,6.084,1.369,11.372,10.733,13.818,
2009,24.857,0.789,23.503,4.167,1.411,11.849,15.678,15.876,19.739,1.149,14.911,11.879,9.66,8.748,13.536,22.24,11.625,14.445,14.417,5.992,4.446,23.578,15.412,1.219,5.182,0.33,10.673,14.347,1.621,7.05,14.557,3.056,5.867,10.961,5.375,7.705,16.431,15.153,3.792,16.84,8.413,0.647,6.364,13.788,8.45,7.962,5.646,0.618,10.125,12.434,15.863,
2010,16.172,2.457,10.758,7.549,1.483,14.874,11.336,14.633,12.706,1.465,9.959,9.733,11.625,8.375,11.271,12.915,12.622,10.125,17.728,5.848,8.132,13.136,12.946,1.787,6.778,1.194,12.219,12.276,2.426,9.439,13.48,4.732,7.767,9.94,7.132,9.915,17.306,12.501,5.51,14.248,8.795,1.567,9.329,10.59,8.419,9.038,9.317,1.206,9.738,8.133,26.713,
2011,16.102,1.031,18.098,4.419,1.007,19.285,15.464,15.796,10.918,1.257,12.353,16.043,7.287,6.183,19.523,13.173,12.012,10.488,16.731,6.611,4.695,15.558,12.119,2.88,6.275,0.365,13.173,16.132,0.952,12.258,12.138,3.459,12.896,6.203,5.793,13.759,18.615,11.188,4.199,20.183,4.208,1.181,10.562,12.32,8.666,11.52,5.641,1.474,10.256,12.84,23.973,
