Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1946,46.463,63.079,70.621,55.281,46.561,1.0,-999.0,89.154,51.403,26.905,29.021,22.043,16.664,69.478,24.048,68.037,6.757,0.0,6.645,6.392,6.267,51.239,46.682,17.644,47.614,53.626,8.652,8.806,85.935,5.163,32.071,12.535,15.817,88.504,18.108,10.216,0.0,39.272,27.379,32.212,95.35,62.943,8.522,12.292,18.907,12.799,9.105,12.44,0.0,-999.0,-999.0,
1947,64.898,67.341,81.031,60.188,45.259,3.0,-999.0,84.404,65.776,25.502,44.263,31.603,42.27,71.374,37.825,110.605,12.808,1.0,11.55,17.403,20.257,79.081,58.437,18.691,52.996,56.2,11.682,14.016,87.36,8.581,43.687,16.98,19.588,-999.0,10.333,14.728,1.0,56.064,42.164,57.837,121.51,56.523,11.523,13.185,16.976,10.413,22.169,13.295,0.0,-999.0,-999.0,
1948,71.545,73.703,80.023,47.173,47.988,5.0,-999.0,104.163,65.817,20.631,32.528,29.824,27.818,62.248,36.928,108.288,8.961,4.0,10.497,11.886,16.1,87.718,44.231,14.125,49.926,53.327,10.543,13.251,79.533,7.833,44.157,20.511,19.45,99.246,10.935,13.512,4.0,59.562,36.683,52.665,122.664,57.205,9.008,13.213,14.105,11.871,20.886,12.971,2.0,-999.0,-999.0,
1949,59.698,60.808,64.901,54.995,35.753,10.0,-999.0,101.598,55.626,27.337,34.114,34.427,25.475,47.259,34.078,91.077,18.124,1.0,26.598,16.19,16.462,75.895,34.242,20.039,41.076,51.36,23.624,27.966,59.728,16.487,39.065,23.18,29.526,75.903,14.701,25.175,14.0,51.369,41.925,36.243,100.931,50.174,25.475,18.103,19.487,13.299,17.221,13.207,0.0,-999.0,-999.0,
1950,50.45,63.668,39.116,57.054,29.551,0.0,-999.0,105.233,54.162,23.126,9.586,7.515,5.751,28.924,6.254,80.101,1.537,0.0,6.694,1.693,5.33,58.773,12.485,9.274,21.581,57.366,6.233,6.827,64.7,2.211,33.546,8.595,5.3,52.346,21.243,3.093,0.0,50.725,18.787,19.524,100.907,51.044,4.744,9.092,20.852,1.897,3.416,6.485,0.0,-999.0,-999.0,
1951,95.812,65.024,77.878,57.857,39.006,0.0,-999.0,113.781,85.435,23.264,14.828,20.731,6.874,39.605,40.322,107.759,0.894,0.0,3.587,1.574,2.796,101.317,28.08,14.713,20.681,49.929,4.566,9.153,82.941,2.815,52.51,9.499,13.867,84.962,20.423,9.093,0.0,68.525,14.632,63.171,120.513,52.677,3.027,19.298,23.998,10.365,1.92,11.143,0.0,-999.0,-999.0,
1952,86.878,59.997,102.012,58.929,56.559,2.0,-999.0,104.855,81.783,25.883,45.862,50.427,23.878,88.966,69.807,102.758,17.942,7.0,14.86,12.838,9.076,101.789,71.089,14.612,57.103,50.855,17.943,20.774,79.665,11.072,60.165,24.518,38.256,113.522,25.427,26.181,11.0,74.798,40.411,74.55,117.68,51.405,12.513,27.102,27.799,24.708,13.312,17.511,0.0,-999.0,-999.0,
1953,92.512,65.363,107.781,52.029,49.807,11.0,-999.0,89.251,75.536,25.59,53.859,56.511,32.473,88.287,69.644,110.267,9.05,14.0,17.944,14.951,9.367,105.071,85.195,18.816,56.163,63.516,21.367,24.003,82.825,16.274,60.72,11.377,34.826,114.062,14.939,25.863,7.0,71.415,31.447,79.946,122.599,59.021,17.484,32.421,18.459,33.099,16.379,14.829,0.0,-999.0,-999.0,
1954,114.631,60.421,111.114,49.451,63.002,0.0,-999.0,98.773,109.325,19.036,51.394,54.039,28.927,95.137,70.359,118.682,1.995,3.0,3.301,6.636,6.679,114.907,84.278,19.063,56.15,49.498,3.692,13.689,86.3,5.089,69.097,10.107,26.368,117.631,6.133,12.16,1.0,94.165,30.224,92.719,129.413,57.825,2.502,29.137,10.987,14.217,8.117,24.825,0.0,-999.0,-999.0,
1955,77.153,52.152,81.199,56.557,50.906,6.0,-999.0,106.116,75.863,31.584,48.118,47.571,45.713,79.423,56.635,95.226,13.089,3.0,23.883,26.92,18.157,81.148,60.821,20.953,65.621,59.797,25.888,24.769,72.693,21.248,40.238,22.611,33.003,98.565,17.236,24.009,11.0,59.013,49.159,61.565,125.826,57.616,21.504,22.886,21.354,17.92,26.063,21.257,2.0,-999.0,-999.0,
1956,83.497,74.589,93.539,55.314,53.59,2.0,-999.0,92.964,81.619,23.935,28.152,23.435,32.097,100.518,41.967,99.314,2.54,0.0,8.375,5.467,7.487,86.108,64.596,16.282,63.642,46.641,6.997,10.666,88.564,3.953,47.484,8.362,9.756,127.745,20.321,5.207,3.0,74.164,34.446,57.472,141.693,61.283,2.502,21.11,22.829,3.752,8.444,12.971,0.0,-999.0,-999.0,
1957,73.09,54.797,61.178,54.795,35.272,5.0,-999.0,82.148,69.953,20.079,25.61,22.5,22.301,56.529,38.989,83.826,4.286,5.0,13.248,6.57,8.207,66.994,42.152,16.879,38.844,59.99,11.962,20.492,71.593,6.496,47.692,16.487,17.614,77.089,11.247,10.836,5.0,57.367,27.049,47.752,93.405,46.011,7.503,25.15,12.511,16.456,7.591,10.701,0.0,-999.0,-999.0,
1958,66.91,69.074,68.525,62.707,48.203,0.0,-999.0,105.001,76.523,39.169,12.987,10.877,14.296,53.478,24.872,88.122,0.532,0.0,2.498,1.501,8.955,67.472,33.397,17.352,34.072,58.308,3.355,7.733,72.045,1.649,37.318,16.043,3.083,92.153,32.775,1.725,0.0,59.387,33.683,42.842,103.606,64.435,1.492,13.572,40.748,2.832,5.992,15.596,3.0,-999.0,-999.0,
1959,68.815,58.526,66.962,62.935,51.589,3.0,-999.0,97.125,76.431,28.103,37.589,35.312,23.301,65.167,41.316,94.904,6.032,5.0,13.07,11.229,17.555,71.666,46.17,19.383,51.825,69.374,14.645,20.862,71.411,10.286,35.862,26.115,23.832,93.234,20.344,20.429,3.0,53.69,52.438,44.141,105.159,61.797,19.474,24.057,18.628,20.752,9.163,18.72,0.0,-999.0,-999.0,
1960,76.371,75.456,75.225,66.168,56.71,0.0,-999.0,91.837,83.264,34.314,24.188,22.083,17.261,59.809,35.854,98.154,1.444,0.0,2.659,4.509,11.105,82.911,44.399,26.679,41.33,72.386,4.011,8.28,73.279,2.41,36.546,21.081,7.528,77.603,23.415,1.734,0.0,62.864,35.46,48.42,113.632,68.452,3.502,15.72,24.281,4.459,7.2,36.591,0.0,-999.0,-999.0,
1961,42.794,66.467,53.337,66.075,36.872,0.0,-999.0,105.896,55.307,39.8,23.371,20.814,13.737,49.937,24.257,61.118,2.733,0.0,9.185,3.861,15.298,51.552,28.698,33.442,41.559,63.245,7.403,14.219,69.341,3.973,34.322,34.395,8.822,66.055,28.543,6.04,1.0,50.21,39.441,33.045,94.466,61.713,4.522,17.083,31.323,4.741,7.661,13.207,0.0,-999.0,-999.0,
1962,87.325,63.887,75.065,55.394,40.628,1.0,-999.0,119.91,87.128,22.038,25.009,23.209,10.382,59.244,36.803,106.687,2.176,0.0,4.178,5.038,2.856,91.117,43.863,10.002,28.689,55.711,2.708,8.135,79.565,4.068,33.531,7.255,16.269,80.711,16.908,12.399,0.0,67.359,14.121,58.857,117.275,54.227,4.473,13.118,16.51,6.432,3.897,8.549,0.0,-999.0,-999.0,
